Año, Viento (km/h), Precip. anual acum (ml)
1990, 18.3, 1941.7
1991, 17.3, 1624.7
1992, 15.8, 1950.7
1993, 12.9, 2106.4
1994, 14.0, 1527.3
1995, 12.0, 2638.4
1996, 13.9, 2210.1
1997, 16.7, 1827.3
1998, 22.2, 2301.7
1999, 16.9, 1946.7
2000, 15.6, 1524.1
2001, 15.9, 1286.6
2002, 17.4, 1509.6
2003, 13.5, 2328.1
2004, 15.3, 1598.9
2005, 13.2, 1704.9
2006, 14.6, 1972.2
2007, 13.8, 2227.4
2008, 13.5, 2360.6
2009, 15.7, 1165.8
2010, 13.9, 2191.4
2011, 13.0, 1400.5
2012, 14.3, 1265.8
2013, 14.2, 1729.5
2014, 14.5, 1475.6
2015, 16.1, 1376.8
2016, 13.7, 1354.7
